title,authors,published,url
Bayesian policy selection using active inference,"['Ozan Çatal', 'Johannes Nauta', 'Tim Verbelen', 'Pieter Simoens', 'Bart Dhoedt']",2019-04-17T09:18:07Z,https://arxiv.org/abs/1904.08149v2
Downhole Track Detection via Multiscale Conditional Generative Adversarial Nets,"['Jia Li', 'Xing Wei', 'Guoqiang Yang', 'Xiao Sun', 'Changliang Li']",2019-04-17T10:50:37Z,https://arxiv.org/abs/1904.08177v1
Exploration of Self-Propelling Droplets Using a Curiosity Driven Robotic Assistant,"['Jonathan Grizou', 'Laurie J. Points', 'Abhishek Sharma', 'Leroy Cronin']",2019-04-22T22:17:34Z,https://arxiv.org/abs/1904.12635v1
Unsupervised Data Augmentation for Consistency Training,"['Qizhe Xie', 'Zihang Dai', 'Eduard Hovy', 'Minh-Thang Luong', 'Quoc V. Le']",2019-04-29T17:56:59Z,https://arxiv.org/abs/1904.12848v6
Challenges of Real-World Reinforcement Learning,"['Gabriel Dulac-Arnold', 'Daniel Mankowitz', 'Todd Hester']",2019-04-29T18:40:15Z,https://arxiv.org/abs/1904.12901v1
Coevo: a collaborative design platform with artificial agents,"['Gerard Serra', 'David Miralles']",2019-04-30T15:55:34Z,https://arxiv.org/abs/1904.13333v1
GazeCorrection:Self-Guided Eye Manipulation in the wild using Self-Supervised Generative Adversarial Networks,"['Jichao Zhang', 'Meng Sun', 'Jingjing Chen', 'Hao Tang', 'Yan Yan', 'Xueying Qin', 'Nicu Sebe']",2019-06-03T13:43:01Z,https://arxiv.org/abs/1906.00805v1
From Words to Sentences: A Progressive Learning Approach for Zero-resource Machine Translation with Visual Pivots,"['Shizhe Chen', 'Qin Jin', 'Jianlong Fu']",2019-06-03T15:28:48Z,https://arxiv.org/abs/1906.00872v1
Neural networks grown and self-organized by noise,"['Guruprasad Raghavan', 'Matt Thomson']",2019-06-03T19:33:39Z,https://arxiv.org/abs/1906.01039v1
Analysis and Improvement of Adversarial Training in DQN Agents With Adversarially-Guided Exploration (AGE),"['Vahid Behzadan', 'William Hsu']",2019-06-03T23:31:25Z,https://arxiv.org/abs/1906.01119v1
Adversarial Exploitation of Policy Imitation,"['Vahid Behzadan', 'William Hsu']",2019-06-03T23:38:33Z,https://arxiv.org/abs/1906.01121v1
Sequential Triggers for Watermarking of Deep Reinforcement Learning Policies,"['Vahid Behzadan', 'William Hsu']",2019-06-03T23:42:44Z,https://arxiv.org/abs/1906.01126v1
Rapidly-Exploring Quotient-Space Trees: Motion Planning using Sequential Simplifications,"['Andreas Orthey', 'Marc Toussaint']",2019-06-04T11:23:38Z,https://arxiv.org/abs/1906.01350v2
Autonomous Reinforcement Learning of Multiple Interrelated Tasks,"['Vieri Giuliano Santucci', 'Gianluca Baldassarre', 'Emilio Cartoni']",2019-06-04T12:30:04Z,https://arxiv.org/abs/1906.01374v1
Hierarchical Decision Making by Generating and Following Natural Language Instructions,"['Hengyuan Hu', 'Denis Yarats', 'Qucheng Gong', 'Yuandong Tian', 'Mike Lewis']",2019-06-03T12:28:50Z,https://arxiv.org/abs/1906.00744v5
RL4health: Crowdsourcing Reinforcement Learning for Knee Replacement Pathway Optimization,"['Hao Lu', 'Mengdi Wang']",2019-05-24T22:12:02Z,https://arxiv.org/abs/1906.01407v1
Knowledge-augmented Column Networks: Guiding Deep Learning with Advice,"['Mayukh Das', 'Devendra Singh Dhami', 'Yang Yu', 'Gautam Kunapuli', 'Sriraam Natarajan']",2019-05-31T21:09:21Z,https://arxiv.org/abs/1906.01432v1
Options as responses: Grounding behavioural hierarchies in multi-agent RL,"['Alexander Sasha Vezhnevets', 'Yuhuai Wu', 'Remi Leblond', 'Joel Z. Leibo']",2019-06-04T14:18:47Z,https://arxiv.org/abs/1906.01470v3
Embedded hyper-parameter tuning by Simulated Annealing,"['Matteo Fischetti', 'Matteo Stringher']",2019-06-04T15:14:36Z,https://arxiv.org/abs/1906.01504v1
